thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,thickness_crust,d_2_young_rift,lon,lat,GHF,upper_mantle_vel_structure,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
16.004,15.0,0.01,1286.4,1270.39,2149.25,887.95,14.91643389,41.0,802.55,-114.33331299999999,58.50012207,63.6166,1.0,2.81945753,-179.9960022,-37.1453018,291996.0,70.873497,245.36599730000003
15.001,14.0,0.0097,2008.82,2859.4,3797.37,1834.54,57.29310604,37.0,1625.18,76.66668701,60.50012207,61.16719820000001,2.0,1.69509685,-76.2421036,-36.7276001,234590.0,61.151599899999994,86.17400359999999
12.501,13.5,0.0092,1924.84,309.03,305.84,530.13,13.72953022,43.49000170000001,34.43,20.66668701,41.50012207,54.840698200000006,3.0,1.23749697,7.0938702000000005,-39.7408981,148139.0,21.3290997,1101.01001
10.002,10.0,0.0102,2040.27,1735.43,1852.51,2366.71,18.6681547,39.50999829999999,944.56,-78.33331299,36.50012207,47.403400399999995,4.0,1.63691568,-31.162000699999997,-30.701700199999998,196135.0,136.34199519999999,117.10900120000001
14.998,16.0,0.0054,946.01,2912.96,2770.01,1487.38,18.72164523,42.2999992,701.32,17.66668701,65.50012207,59.2221985,2.0,2.07876754,-29.018199900000003,-39.5555992,235987.0,73.96549990000001,390.19601439999997
16.0,17.0,0.019200001,2952.03,2870.12,2951.24,2036.97,21.50581317,46.459999100000005,1307.97,-87.33331299,48.50012207,38.17190170000001,1.0,2.47822261,382.25,-39.485199,224852.0,106.3190002,-18.5550995
14.998,16.0,0.0046,2676.08,1455.5,1612.5,1141.46,23.11925604,44.0200005,1041.9,36.66668701,51.50012207,40.912898999999996,1.0,2.94425702,-812.0040283,-55.27959820000001,306558.0,79.4019012,208.6529999
19.0,12.0,0.021199999,2585.74,2287.48,2407.76,2557.52,20.94039159,40.2999992,1059.42,-78.33331299,41.50012207,52.653400399999995,2.0,1.9489181,-63.2452011,-37.1408005,191696.0,95.72910309999999,548.6160278
15.995999999999999,15.0,0.0208,2319.67,1626.96,1525.59,1451.55,16.86712779,44.4399986,528.43,23.66668701,53.50012207,45.21400070000001,1.0,2.44636512,-132.5559998,-44.021198299999995,279352.0,93.26679990000001,173.6779938
18.005,15.99,-0.0184,1507.3,573.44,309.47,876.5,62.45398306,50.00999829999999,588.52,101.666687,27.50012207,71.4154968,3.0,0.8876639000000001,-19.4687004,-52.81819920000001,103440.0,-182.3690033,2968.73999
12.501,13.0,0.0014,16.18,3015.35,3169.98,604.03,75.77928477,38.5,14.28,109.66668700000001,55.50012207,58.439201399999995,4.0,1.09273696,-194.21699519999999,-47.263900799999995,112641.0,-47.8693008,401.02700810000005
16.003,15.0,0.0054,1668.39,3727.28,4559.38,1918.21,69.48740893,46.0,1605.06,86.66668701,67.50012207,35.32249829999999,2.0,1.89266455,-48.191001899999996,-37.79090120000001,121565.0,133.61300659999998,20.870399499999998
17.0,16.0,0.035799999,1128.56,76.44,76.44,172.63,11.33578405,36.6699982,76.97,36.66668701,37.50012207,67.19560240000001,5.0,0.18224999,-146.9530029,-33.2727013,47874.0,25.4206009,909.0479736
17.002,17.0,0.0207,2338.91,1907.56,1859.31,1635.98,23.92697223,44.4799995,876.23,30.66668701,54.50012207,36.65819929999999,1.0,2.78797245,141.5679932,-46.235199,219695.0,81.06240079999999,187.34500119999998
11.998,13.0,0.0019,2058.54,3302.34,4006.18,2076.88,59.51890456,39.0,1876.02,76.66668701,63.50012207,55.2308998,2.0,1.79154634,-33.269001,-33.1889992,189551.0,77.2858963,79.34899899999999
17.0,16.0,0.0149,1041.24,67.26,64.58,240.79,11.51086443,35.99000170000001,29.29,37.66668701,36.50012207,61.175701100000005,5.0,0.35610232,-50.5475006,-28.1532993,49778.30078,68.4924011,501.15100099999995
17.503,17.0,0.026799998999999998,2174.64,1926.51,1840.61,1746.21,21.22498528,43.279998799999994,840.32,27.66668701,55.50012207,33.165699,1.0,2.88932252,150.93400569999997,-49.8653984,220174.0,76.3852997,139.01199340000002
16.004,17.0,0.016799999,2666.46,2485.77,2581.15,2280.52,22.46107745,45.970001200000006,806.6,-82.33331299,42.50012207,41.561401399999994,2.0,2.28223991,-143.3280029,-36.945598600000004,259342.0,102.5090027,174.8529968
12.003,12.0,-0.0109,536.1,1181.27,1699.29,717.73,53.68891878,36.0,31.09,137.66668700000002,50.50012207,39.416698499999995,5.0,0.58929437,40.533401500000004,-29.4533005,73535.60156,120.2789993,72.7376022
14.999,14.0,0.031099999,2154.76,2204.62,2403.6,1794.32,31.12073264,37.279998799999994,1633.46,39.66668701,58.50012207,50.8471985,1.0,2.49635077,-8.8763103,-32.99610139999999,236510.0,105.6240005,151.45500180000002
15.002,15.0,0.0109,2671.62,1338.21,1584.27,890.75,25.70019455,42.220001200000006,1217.1,43.66668701,50.50012207,54.3496017,1.0,2.87591052,-182.67700200000002,-41.2226982,145872.0,95.09349820000001,142.6860046
16.002,17.0,0.0265,1420.03,1210.25,1623.7,802.65,6.670832032000001,45.2999992,589.32,-109.33331299999999,50.50012207,55.8429985,2.0,1.87118888,187.28100590000003,-48.4861984,268317.0,39.6679993,720.6160278
15.995999999999999,15.0,0.040399998,1759.79,2379.68,3483.25,1346.48,58.75797818,39.5,1138.17,81.66668701,54.50012207,43.8697014,3.0,1.59219623,-85.6912003,-39.794399299999995,98343.10156,68.5942993,208.22300719999998
11.998,10.5,-0.0232,767.77,1576.9,791.45,328.42,3.5355339060000004,40.9500008,40.81,-108.33331299999999,35.50012207,80.1414032,5.0,0.5554533,5.9067898,-46.749500299999994,67894.39844,-86.9585037,2334.229981
14.995999999999999,15.0,0.019200001,1677.36,2610.13,3645.66,1398.82,60.91387363,39.0,1164.26,82.66668701,57.50012207,55.2683983,2.0,1.65633118,85.5262985,-39.6329994,77393.70313,78.62020109999999,109.177002
9.003,10.0,0.0185,1783.25,671.91,811.77,619.88,12.509996000000001,32.4700012,2.01,27.66668701,41.50012207,76.1512985,6.0,1.15864003,-34.9351006,-25.970800399999998,60993.80078,108.3799973,111.822998
20.000999999999998,22.0,-0.033199999,2780.57,237.46,2034.4,62.46,12.9034882,55.61000061,11.4,-69.33331299,-18.5,84.9427,3.0,1.5873708,-23.6896,-56.21129989999999,123381.0,-154.375,4086.0
15.997,15.0,0.0104,2594.01,1980.72,3045.5,1853.01,47.20699101,45.720001200000006,1832.94,69.66668701,52.50012207,40.9320984,2.0,2.00655007,67.632103,-32.3312988,200631.0,57.940101600000006,387.3259888
12.995999999999999,12.0,0.0002,978.76,2907.57,2123.31,465.34,7.90569415,34.0,231.44,43.66668701,2.50012207,80.84349820000001,6.0,1.29633439,-62.0628014,-37.5283012,66215.0,118.4800034,257.2640076
12.495,13.51,0.0118,2078.43,585.3,579.05,731.61,14.57737974,34.5600014,73.23,22.66668701,43.50012207,77.26589969999999,6.0,1.17113245,-14.823599800000002,-30.6760006,52452.0,89.3519974,772.3640137
9.504,10.0,-0.028100001,318.18,1288.13,1540.16,751.68,13.50925609,30.0,130.9,-1.3333129879999999,39.50012207,65.3011017,5.0,1.10699606,-0.979467,-40.3003006,44797.30078,49.544399299999995,739.8170166
15.004000000000001,15.0,0.022299998999999997,2211.58,2027.16,2177.13,1691.52,27.2855273,41.7700005,1212.53,34.66668701,56.50012207,40.8300018,1.0,2.84999537,-226.75,-44.947601299999995,266538.0,73.4408035,224.0780029
5.002,6.0,0.0104,1499.06,2670.64,4436.51,1959.26,37.4232559,37.95999908,307.13,-96.33331299,78.50012207,54.4811,2.0,2.09953,-66.6850967,-20.5727997,130378.0,133.0599976,63.0
15.005,15.99,0.0495,2489.88,864.92,1346.06,776.74,31.31293662,45.8699989,1429.4,61.66668701,36.50012207,61.8213005,4.0,1.08267558,28.0522995,-29.3390007,76650.10156,21.8603992,297.3320007
11.495999999999999,11.5,-0.032000002,387.53,735.8,217.82,113.51,7.516648189,32.3899994,117.85,-118.33331299999999,36.50012207,79.67130279999999,5.0,0.69703376,199.9819946,-44.6715012,65300.60156,-54.4353981,3471.0
14.004000000000001,13.0,0.021500001,2545.76,980.4,1661.43,905.86,31.21698256,42.909999799999994,1528.99,58.66668701,38.50012207,48.1724014,3.0,1.18808997,41.4445,-30.2283001,164009.0,19.279300699999997,89.91729740000001
11.495,11.5,-0.0244,412.08,592.77,833.78,550.18,7.516648189,35.0,22.5,-105.33331299999999,26.50012207,79.42590329999999,5.0,0.37227124,20.098199800000003,-51.7787018,47877.30078,-51.1790009,1820.939941
