thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,thickness_crust,d_2_young_rift,lon,lat,upper_mantle_vel_structure,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
0.72,1.59,-0.0294,475.11,2837.2,959.83,1197.86,1048.4855040818877,7.28,1360.25,-179.5,-60.5,10.0,1.79677,6.08250713348,-15.767016,29719.907760000002,451.975799561,-4186
0.74,1.63,-0.032099999,487.18,2836.53,1012.52,1225.42,1084.1537809947326,7.46,1363.87,-178.5,-60.5,10.0,1.73416,1.78484046459,-15.609166,29970.20531,448.835205078,-4165
0.71,1.56,-0.033399999,504.16,2837.69,1065.2,1254.27,1120.759113093942,7.14,1368.82,-177.5,-60.5,10.0,1.27055,1.91090750694,-15.832293,29829.908369999997,447.496887207,-4181
0.74,1.61,-0.031800002,480.22,2840.67,1117.87,1284.34,1158.2040184698674,7.4,1375.08,-176.5,-60.5,10.0,1.27055,5.56799888611,-15.891858,28898.885729999998,447.721282959,-4119
0.74,1.64,-0.0306,454.88,2845.46,1170.52,1315.55,1196.4008188210926,7.46,1382.63,-175.5,-60.5,10.0,1.27055,11.2913312912,-15.213592000000002,27548.4333,448.439880371,-4030
0.71,1.56,-0.033500001,434.2,2852.05,1223.13,1347.84,1235.2707225105567,7.14,1391.45,-174.5,-60.5,10.0,1.27055,16.5829467773,-14.864032,26284.25598,448.480438232,-4103
0.71,1.56,-0.038899999,394.45,2860.43,1275.69,1381.14,1274.7429369773058,7.16,1401.51,-173.5,-60.5,10.0,1.27055,19.1169261932,-15.659706,24646.02089,447.596130371,-4009
0.72,1.6,-0.041700002,347.84,2870.58,1328.21,1415.37,1314.753832529609,7.28,1412.78,-172.5,-60.5,10.0,1.27055,18.7734203339,-16.432805,23540.018079999998,446.510620117,-3943
0.69,1.52,-0.0383,303.46,2882.48,1380.67,1450.46,1355.246169496653,6.94,1425.23,-171.5,-60.5,10.0,1.27055,17.1006946564,-16.071814,22096.71974,445.953918457,-4062
0.7,1.54,-0.0385,262.44,2896.11,1433.08,1480.15,1396.1683937878545,7.03,1438.83,-170.5,-60.5,10.0,1.27055,14.7788162231,-15.360210999999998,21525.55275,445.916503906,-3882
0.7,1.54,-0.0425,226.63,2911.44,1485.41,1500.78,1437.474001317686,7.03,1453.54,-169.5,-60.5,10.0,1.27055,12.185713768,-15.272048000000002,20747.306819999998,445.99395752,-4011
0.69,1.52,-0.046300000999999986,198.86,2928.44,1537.68,1522.0,1479.1209688588783,6.96,1469.32,-168.5,-60.5,10.0,1.27055,9.34903812408,-15.340882999999998,20435.25505,446.064880371,-4029
0.68,1.49,-0.0451,182.86,2947.08,1589.87,1543.77,1521.0712471882164,6.83,1486.14,-167.5,-60.5,10.0,1.27055,7.01880168915,-14.963126,20028.12195,446.280578613,-4075
0.68,1.49,-0.037700001,181.77,2967.33,1641.98,1566.05,1563.2903115114755,6.82,1503.96,-166.5,-60.5,12.0,1.27055,6.35805368423,-14.65521,19865.72838,446.574768066,-4153
0.69,1.52,-0.037000000000000005,195.82,2989.14,1694.0,1583.54,1605.7467638227097,6.95,1522.74,-165.5,-60.5,12.0,1.27055,7.4228310585,-14.966068,19645.34569,446.575286865,-4077
0.69,1.53,-0.039999999,222.17,3012.49,1745.93,1587.33,1648.4119818721786,6.98,1542.43,-164.5,-60.5,12.0,1.27055,9.74034118652,-15.422475,19520.87593,445.789855957,-4062
0.69,1.53,-0.044599999,192.21,3037.33,1797.77,1591.6,1691.2598096499055,6.97,1563.0,-163.5,-60.5,12.0,1.27055,12.5877542496,-15.432770999999999,19345.47997,443.739196777,-3886
0.68,1.51,-0.043099999000000014,171.83,3063.62,1849.52,1596.31,1734.2662846446458,6.88,1584.4,-162.5,-60.5,12.0,1.27055,16.134809494,-15.334160999999998,19294.58237,440.020568848,-3925
0.7,1.52,-0.041700002,166.84,3091.31,1901.15,1601.49,1777.4093975485016,6.97,1606.61,-161.5,-60.5,12.0,1.27055,18.1808490753,-15.790714000000001,19196.437840000002,434.554718018,-3796
0.7,1.55,-0.046500001,178.54,3120.38,1952.69,1607.11,1750.229681115968,7.08,1629.58,-160.5,-60.5,12.0,1.27055,16.2502498627,-16.744901000000002,19241.71448,427.981414795,-3599
0.7,1.52,-0.0546,204.07,3150.77,2004.11,1613.2,1701.6677971480572,6.98,1653.27,-159.5,-60.5,12.0,1.19026,10.3601961136,-17.592226,19223.741530000003,421.562347412,-3505
0.69,1.54,-0.0592,225.63,3182.44,2055.42,1611.13,1653.9095726123003,7.0,1677.65,-158.5,-60.5,12.0,1.19026,3.18059444427,-17.978621,19230.072020000003,416.256164551,-3491
0.67,1.49,-0.0592,193.66,3215.34,2106.61,1599.73,1607.0373314750505,6.8,1702.68,-157.5,-60.5,12.0,1.19026,-2.46646118164,-17.970847,19165.30991,411.848022461,-3456
0.66,1.46,-0.060800001,167.83,3249.44,2157.68,1577.34,1561.1413372311233,6.64,1728.32,-156.5,-60.5,12.0,1.19106,-5.27336931229,-17.924891,19158.359529999998,407.147979736,-3390
0.66,1.45,-0.066200003,125.35,3284.7,2208.62,1546.33,1516.3204640886097,6.61,1753.71,-155.5,-60.5,12.0,1.19106,-4.82553243637,-18.481567000000002,19093.46008,401.278381348,-3293
0.68,1.51,-0.071599998,82.04,3321.05,2259.44,1516.13,1472.6828478970651,6.89,1776.73,-154.5,-60.5,12.0,1.12752,-2.52618217468,-19.801581,19159.71565,394.744384766,-3088
1.17,1.17,-0.074000001,35.71,3358.48,2310.12,1486.84,1430.346480750615,6.9,1800.34,-153.5,-60.5,12.0,1.12752,-0.973105013371,-20.303488,19169.06929,389.339447021,-2761
1.18,1.18,-0.071099997,9.85,3396.93,2360.66,1458.56,1389.4397003066963,6.98,1824.52,-152.5,-60.5,12.0,1.10325,-2.05170607567,-19.092142000000003,19295.686719999998,386.850067139,-2603
1.19,1.2,-0.063699998,55.27,3436.35,2411.07,1431.41,1350.101509672719,7.05,1849.23,-151.5,-60.5,12.0,1.12007,-4.9622836113,-17.897348,19349.61319,387.885772705,-2763
1.21,1.21,-0.0603,86.84,3476.72,2461.33,1405.54,1312.4816468197587,7.13,1874.46,-150.5,-60.5,12.0,1.12007,-7.84553194046,-17.819758,19595.65353,391.947357178,-2935
0.71,1.56,-0.061000001,99.61,3518.0,2511.45,1381.11,1276.7403052259424,7.12,1900.08,-149.5,-60.5,12.0,1.12007,-8.83584594727,-16.3155,19739.79568,398.125366211,-3059
0.69,1.51,-0.063100003,135.84,3560.13,2561.41,1358.29,1243.0473922262672,6.91,1925.53,-148.5,-60.5,12.0,1.12007,-7.62412118912,-15.154879999999999,20211.62224,405.459503174,-3205
0.66,1.46,-0.06329999900000001,182.04,3603.09,2611.22,1337.3,1211.5812020638575,6.68,1950.79,-147.5,-60.5,12.0,1.12007,-5.3162112236,-14.304751999999999,20450.79994,412.893981934,-3358
0.66,1.47,-0.060400002,227.22,3646.84,2660.87,1318.33,1182.5263820213602,6.69,1975.88,-146.5,-60.5,12.0,1.12007,-3.59139537811,-13.716247000000001,21105.01862,419.449737549,-3405
0.7,1.51,-0.054400001,274.57,3691.33,2710.36,1301.61,1156.0710884840073,6.94,2001.16,-145.5,-60.5,12.0,1.12007,-2.83496570587,-14.337345999999998,21043.500900000003,424.739807129,-3395
0.71,1.56,-0.048300002,324.6,3736.55,2759.68,1287.34,1132.4032717130556,7.14,2026.85,-144.5,-60.5,12.0,1.12007,-2.38591432571,-15.516298,21765.14626,429.198272705,-3442
0.72,1.57,-0.045299999,374.11,3782.45,2808.84,1275.68,1111.7060981768593,7.2,2038.84,-143.5,-60.5,12.0,1.12007,-1.17013406754,-15.521856,21347.20993,433.554718018,-3588
0.72,1.58,-0.045200001,403.74,3828.99,2857.82,1266.75,1094.1526178736913,7.21,2022.83,-142.5,-60.5,12.0,1.13461,1.37403643131,-15.443148999999998,21969.915390000002,438.167938232,-3613
0.71,1.55,-0.045699999000000005,389.69,3854.32,2906.62,1260.59,1079.8999043390452,7.1,2007.34,-141.5,-60.5,12.0,1.13461,5.00928163528,-15.659029,21440.347670000003,442.955871582,-3734
0.7,1.52,-0.0447,383.85,3802.58,2955.25,1257.2,1069.083020865386,6.99,1992.38,-140.5,-60.5,12.0,1.10088,7.65492725372,-17.310285999999998,22023.13423,447.717926025,-3826
0.71,1.54,-0.0429,386.62,3750.65,3003.69,1256.49,1061.8092730127705,7.06,1977.98,-139.5,-60.5,12.0,1.10088,6.72235059738,-17.678073,21499.27139,452.382324219,-3895
0.71,1.56,-0.0418,397.79,3698.52,3051.95,1258.34,1058.1532654870623,7.13,1964.14,-138.5,-60.5,12.0,1.03074,2.25324249268,-17.376547,22070.127490000003,457.05291748,-4029
0.7,1.53,-0.041700002,416.72,3646.21,3100.02,1262.6,1058.1532654870623,7.02,1950.89,-137.5,-60.5,12.0,1.03074,-2.44750547409,-16.439201999999998,21522.777560000002,461.791870117,-4137
0.69,1.53,-0.0407,442.37,3593.72,3147.89,1269.11,1061.8092730127705,6.98,1938.24,-136.5,-60.5,12.0,1.00562,-4.37239551544,-15.29592,22088.695529999997,466.552520752,-4189
